Invoice,Customer,Phone,Date,Subtotal,Tax,Discount,Total,Status
INV-20260714-F31486,Walk-in Customer,,2026-07-14,300.0,0.0,0.0,300.0,Paid
INV-20260714-F93F78,Walk-in Customer,,2026-07-14,1000.0,0.0,0.0,1000.0,Paid
INV-20260714-AEFB7A,asdfghjkl,,2026-07-14,1000.0,0.0,0.0,1000.0,Paid
INV-20260714-0DAF11,bjcsljkcsnmposamc,,2026-07-14,1000.0,0.0,0.0,1000.0,Paid
INV-20260714-C2A6DE,iujhgciudci,,2026-07-14,1000.0,0.0,0.0,1000.0,Paid
INV-20260714-40EEA9,zxcgfdsaflmnmd;lmd,,2026-07-14,1000.0,0.0,0.0,1000.0,Paid
INV-20260714-23562B,sdfghjhjkll;jhgf,,2026-07-14,1000.0,0.0,0.0,1000.0,Paid
INV-20260714-5E7021,jhkl;'lkjhdcjmdapoic,,2026-07-14,1000.0,0.0,0.0,1000.0,Paid
INV-20260714-1848FC,kjbnpoihuh,,2026-07-14,1000.0,0.0,0.0,1000.0,Paid
INV-20260714-784389,"klmcla,plakc,pl,c",,2026-07-14,1000.0,0.0,0.0,1000.0,Paid
INV-20260714-425216,jncdmopsa,,2026-07-14,1000.0,0.0,0.0,1000.0,Paid
INV-20260714-397B23,bdcidcbk,,2026-07-14,2000.0,0.0,0.0,2000.0,Paid
INV-20260714-6B68D1,opio,,2026-07-14,2000.0,360.0,0.0,2360.0,Paid
INV-20260714-4A692D,mynamessss,,2026-07-14,1000.0,180.0,0.0,1180.0,Paid
INV-20260714-D928B2,myname,,2026-07-14,1000.0,180.0,0.0,1180.0,Paid
INV-20260714-00C998,Walk-in Customer,,2026-07-14,1000.0,180.0,0.0,1180.0,Paid
INV-20260714-EF39DB,Walk-in Customer,,2026-07-14,0.0,0.0,0.0,0.0,Unpaid
INV-20260714-DB6CFF,eliza,,2026-07-14,0.0,0.0,0.0,0.0,Unpaid
INV-20260714-1F237B,ocen,,2026-07-14,8000.0,1440.0,0.0,9440.0,Paid
INV-20260714-5BBF0B,okullo,0766722052,2026-07-14,6000.0,0.0,0.0,6000.0,Paid
INV-20260714-D984C4,okullo,0766722052,2026-07-14,9000.0,0.0,0.0,9000.0,Paid
INV-20260714-F7B26F,okullo,0766722052,2026-07-14,5000.0,0.0,0.0,5000.0,Paid
INV-20260714-4EEA2D,okullo,0766722052,2026-07-14,13000.0,2340.0,0.0,15340.0,Paid
,okullo,0766722052,2026-07-14,5000.0,900.0,0.0,5900.0,Paid
